source,date,title,url,image_url,image_local_path,summary,bias_flags,bias_explanation,who_benefits
The Guardian,2026-03-11,The US-Israeli strategy failed to defeat Iran quickly – now they are moving to plan B,https://www.theguardian.com/commentisfree/2026/mar/11/us-israel-iran-plan-b-strategy-dahiya-doctrine,https://media.guim.co.uk/ea94dcaf51fe0ef731a328fb49270fda000525e9/584_0_5836_4669/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\The_US-Israeli_strategy_failed_to_defeat_Iran_quic_0.jpg,It’s called the Dahiya doctrine – and the IDF and US air force are using it to destroy domestic support in IranPaul Rogers is emeritus professor of peace studies at Bradford University and author of Losing Control: International Security in the 21st Century,Opinion/Editorial,"This is an opinion or editorial piece, not objective reporting. The author's personal viewpoint shapes the narrative.",<b>The Guardian</b> leans <b>Center-left</b>. Tends to be sympathetic to Palestinian civilian perspectives and critical of Israeli military operations.
The Guardian,2026-03-11,Iran’s regional proxies hold back from all-out war with US and Israel,https://www.theguardian.com/world/2026/mar/11/irans-regional-proxies-hold-back-from-all-out-war-with-us-and-israel,https://media.guim.co.uk/54d0dbe26367f59e40d9f87dbd4d54cd6d6f75dd/500_0_5000_4000/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Iran’s_regional_proxies_hold_back_from_all-out_war_1.jpg,Observers wait to see if Yemen-based Houthis will reopen hostilities as US warships approach Red Sea chokepoint,,,
The Guardian,2026-03-10,Iranians living in UK tell Starmer that war will only strengthen Tehran regime,https://www.theguardian.com/world/2026/mar/10/iranians-living-in-uk-warn-starmer-war-nazanin-zaghari-ratcliffe-letter,https://media.guim.co.uk/5b046f5ad7b46def877a4b7bcdcebfc964058a3c/412_0_1762_1410/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Iranians_living_in_UK_tell_Starmer_that_war_will_o_2.jpg,Nazanin Zaghari-Ratcliffe among more than 100 signatories to letter urging PM not to get drawn further into the conflict,,,
The Guardian,2026-03-10,Labor MPs quietly alarmed by Albanese government’s response to US-Israel strikes on Iran,https://www.theguardian.com/australia-news/2026/mar/10/albanese-government-response-iran-war-labor-mps,https://media.guim.co.uk/b85ac8ae5afd18d6d88fe5ba4521bc09b00166e3/844_0_6692_5357/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Labor_MPs_quietly_alarmed_by_Albanese_government’s_3.jpg,"Exclusive: Several MPs question why the party rushed to endorse strikes that were likely in breach of international lawFollow our Australia news live blog for latest updatesGet our breaking news email, free app or daily news podcast",,,
The Guardian,2026-03-11,"Five killed in strikes on Lebanon, health ministry reports – as it happened",https://www.theguardian.com/world/live/2026/mar/10/iran-war-live-updates-iranian-supreme-leader-mojtaba-khamenei-middle-east-tehran-oil-prices-latest-news,https://media.guim.co.uk/7a407a89532007183b90d10eb72c9e3127aea455/928_0_4640_3712/500.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Five_killed_in_strikes_on_Lebanon,_health_ministry_4.jpg",This live blog is now closed – our coverage of the Middle East crisis continues hereMiddle East crisis – live updates,,,
The Guardian,2026-03-11,"‘If I go home, we don’t have enough money’: the low-paid Filipino workers caught up in the war on Iran",https://www.theguardian.com/world/2026/mar/11/iran-war-filipino-workers-israel,https://media.guim.co.uk/5d2f75d00a1bdd002405472a7249eac02711fa0b/2_0_6663_5333/500.jpg,"C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\‘If_I_go_home,_we_don’t_have_enough_money’__the_lo_5.jpg","Filipino carer Mary Ann De Vera was the first victim of the war in Israel, while thousands of others remain in vulnerable positions across the Middle East",,,
The Guardian,2026-03-10,Pete Hegseth warns of ‘most intense’ day of US strikes on Iran yet,https://www.theguardian.com/world/2026/mar/10/hegseth-iran-intense-strikes-civilian-deaths,https://media.guim.co.uk/a6b31b4f7985693edec5ab0e8ce77ae11d98f4d7/351_0_4297_3438/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Pete_Hegseth_warns_of_‘most_intense’_day_of_US_str_6.jpg,Pentagon chief spoke with Gen Dan Caine at a press conference and blamed Iran for civilian casualties Sign up for the Breaking News US email to get newsletter alerts in your inbox,,,
The Guardian,2026-03-10,Fuel supply and Middle East conflict dominate political debate – as it happened,https://www.theguardian.com/australia-news/live/2026/mar/10/iran-football-team-tony-burke-anthony-albanese-labor-angus-taylor-coalition-oil-price-inflation-federal-parliament-ntwnfb,https://media.guim.co.uk/05ebf302e006bd9afbd8b218fe5e55911dece243/28_0_6880_5504/500.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Fuel_supply_and_Middle_East_conflict_dominate_poli_7.jpg,"Follow updates live‘I’m buggered’: David Littleproud resigns as leader of National party as Matt Canavan flags tiltGet our breaking news email, free app or daily news podcast",,,
BBC News,2026-03-11,US strikes minelaying ships in Iran after warning of 'intense' day of bombing,https://www.bbc.com/news/articles/cgrzken84q5o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/news/1024/branded_news/6905/live/3f130600-1cac-11f1-801d-ed3cff6bf876.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\US_strikes_minelaying_ships_in_Iran_after_warning__0.jpg,"US intelligence assets believe Iran is preparing to deploy naval mines in the Strait of Hormuz, the world's busiest oil shipping channel.",,,
BBC News,2026-03-11,Member of Iranian football delegation granted Australian asylum changes her mind,https://www.bbc.com/news/articles/c93j2492d0do?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/news/1024/branded_news/e80d/live/273a2e60-1cec-11f1-9b34-c51430981061.jpg,C:\Users\YDR\OneDrive\Documents\News Scraper\index_files\Member_of_Iranian_football_delegation_granted_Aust_1.jpg,"One of the seven women who received visas has reversed her decision after speaking to teammates, minister says",,,
